,Link,Is_Batter
149,https://www.baseball-reference.com/players/gl.fcgi?id=judgeaa01&t=b&year=2021,True
150,https://www.baseball-reference.com/players/gl.fcgi?id=kingmi01&t=b&year=2021,True
151,https://www.baseball-reference.com/players/gl.fcgi?id=klubeco01&t=b&year=2021,True
152,https://www.baseball-reference.com/players/gl.fcgi?id=koernbr01&t=p&year=2021,False
153,https://www.baseball-reference.com/players/gl.fcgi?id=kriskbr01&t=p&year=2021,False
154,https://www.baseball-reference.com/players/gl.fcgi?id=lamarry01&t=b&year=2021,True
155,https://www.baseball-reference.com/players/gl.fcgi?id=lemahdj01&t=b&year=2021,True
156,https://www.baseball-reference.com/players/gl.fcgi?id=loaisjo01&t=b&year=2021,True
157,https://www.baseball-reference.com/players/gl.fcgi?id=locasti01&t=b&year=2021,True
158,https://www.baseball-reference.com/players/gl.fcgi?id=luetglu01&t=b&year=2021,True
159,https://www.baseball-reference.com/players/gl.fcgi?id=montgjo01&t=b&year=2021,True
160,https://www.baseball-reference.com/players/gl.fcgi?id=nelsoni01&t=p&year=2021,False
161,https://www.baseball-reference.com/players/gl.fcgi?id=odayda01&t=p&year=2021,False
162,https://www.baseball-reference.com/players/gl.fcgi?id=odorro01&t=b&year=2021,True
163,https://www.baseball-reference.com/players/gl.fcgi?id=parkho01&t=b&year=2021,True
164,https://www.baseball-reference.com/players/gl.fcgi?id=peralwa01&t=b&year=2021,True
165,https://www.baseball-reference.com/players/gl.fcgi?id=ridinst01&t=p&year=2021,False
166,https://www.baseball-reference.com/players/gl.fcgi?id=rizzoan01&t=b&year=2021,True
167,https://www.baseball-reference.com/players/gl.fcgi?id=rodrijo06&t=b&year=2021,True
168,https://www.baseball-reference.com/players/gl.fcgi?id=romansa01&t=p&year=2021,False
169,https://www.baseball-reference.com/players/gl.fcgi?id=sanchga02&t=b&year=2021,True
170,https://www.baseball-reference.com/players/gl.fcgi?id=schmicl01&t=b&year=2021,True
171,https://www.baseball-reference.com/players/gl.fcgi?id=severlu01&t=p&year=2021,False
172,https://www.baseball-reference.com/players/gl.fcgi?id=stantmi03&t=b&year=2021,True
173,https://www.baseball-reference.com/players/gl.fcgi?id=taillja01&t=b&year=2021,True
174,https://www.baseball-reference.com/players/gl.fcgi?id=tauchmi01&t=b&year=2021,True
175,https://www.baseball-reference.com/players/gl.fcgi?id=torregl01&t=b&year=2021,True
176,https://www.baseball-reference.com/players/gl.fcgi?id=urshegi01&t=b&year=2021,True
177,https://www.baseball-reference.com/players/gl.fcgi?id=velazan01&t=b&year=2021,True
178,https://www.baseball-reference.com/players/gl.fcgi?id=voitlu01&t=b&year=2021,True
179,https://www.baseball-reference.com/players/gl.fcgi?id=wadety01&t=b&year=2021,True
180,https://www.baseball-reference.com/players/gl.fcgi?id=wilsoju10&t=p&year=2021,False
181,https://www.baseball-reference.com/players/gl.fcgi?id=wojcias01&t=p&year=2021,False
182,https://www.baseball-reference.com/players/gl.fcgi?id=adamsri03&t=b&year=2021,True
183,https://www.baseball-reference.com/players/gl.fcgi?id=allgeni01&t=p&year=2021,False
184,https://www.baseball-reference.com/players/gl.fcgi?id=bakerbr01&t=p&year=2021,False
185,https://www.baseball-reference.com/players/gl.fcgi?id=barneja01&t=b&year=2021,True
186,https://www.baseball-reference.com/players/gl.fcgi?id=beaslje01&t=p&year=2021,False
187,https://www.baseball-reference.com/players/gl.fcgi?id=bergetr01&t=b&year=2021,True
188,https://www.baseball-reference.com/players/gl.fcgi?id=berrijo01&t=b&year=2021,True
189,https://www.baseball-reference.com/players/gl.fcgi?id=bichebo01&t=b&year=2021,True
190,https://www.baseball-reference.com/players/gl.fcgi?id=biggica01&t=b&year=2021,True
191,https://www.baseball-reference.com/players/gl.fcgi?id=borucry01&t=b&year=2021,True
192,https://www.baseball-reference.com/players/gl.fcgi?id=castran02&t=p&year=2021,False
193,https://www.baseball-reference.com/players/gl.fcgi?id=chatwty01&t=b&year=2021,True
194,https://www.baseball-reference.com/players/gl.fcgi?id=cimbead01&t=b&year=2021,True
195,https://www.baseball-reference.com/players/gl.fcgi?id=coleaj01&t=b&year=2021,True
196,https://www.baseball-reference.com/players/gl.fcgi?id=davisjo05&t=b&year=2021,True
197,https://www.baseball-reference.com/players/gl.fcgi?id=dickeco01&t=b&year=2021,True
198,https://www.baseball-reference.com/players/gl.fcgi?id=dolisra01&t=b&year=2021,True
199,https://www.baseball-reference.com/players/gl.fcgi?id=dysonja01&t=b&year=2021,True
200,https://www.baseball-reference.com/players/gl.fcgi?id=edwarca01&t=p&year=2021,False
201,https://www.baseball-reference.com/players/gl.fcgi?id=espinsa01&t=b&year=2021,True
202,https://www.baseball-reference.com/players/gl.fcgi?id=grichra01&t=b&year=2021,True
203,https://www.baseball-reference.com/players/gl.fcgi?id=guerrvl02&t=b&year=2021,True
204,https://www.baseball-reference.com/players/gl.fcgi?id=gurrilo01&t=b&year=2021,True
205,https://www.baseball-reference.com/players/gl.fcgi?id=handbr01&t=b&year=2021,True
206,https://www.baseball-reference.com/players/gl.fcgi?id=hatchto01&t=p&year=2021,False
207,https://www.baseball-reference.com/players/gl.fcgi?id=hernate01&t=b&year=2021,True
208,https://www.baseball-reference.com/players/gl.fcgi?id=hoyinja01&t=b&year=2021,True
209,https://www.baseball-reference.com/players/gl.fcgi?id=janseda01&t=b&year=2021,True
210,https://www.baseball-reference.com/players/gl.fcgi?id=kayan01&t=p&year=2021,False
211,https://www.baseball-reference.com/players/gl.fcgi?id=kirkal01&t=b&year=2021,True
212,https://www.baseball-reference.com/players/gl.fcgi?id=lambja01&t=b&year=2021,True
213,https://www.baseball-reference.com/players/gl.fcgi?id=lopezot01&t=b&year=2021,True
214,https://www.baseball-reference.com/players/gl.fcgi?id=manoaal01&t=b&year=2021,True
215,https://www.baseball-reference.com/players/gl.fcgi?id=matzst01&t=b&year=2021,True
216,https://www.baseball-reference.com/players/gl.fcgi?id=mayzati01&t=b&year=2021,True
217,https://www.baseball-reference.com/players/gl.fcgi?id=mcguire01&t=b&year=2021,True
218,https://www.baseball-reference.com/players/gl.fcgi?id=merryju01&t=p&year=2021,False
219,https://www.baseball-reference.com/players/gl.fcgi?id=milonto01&t=p&year=2021,False
220,https://www.baseball-reference.com/players/gl.fcgi?id=murphpa02&t=p&year=2021,False
221,https://www.baseball-reference.com/players/gl.fcgi?id=overtco01&t=b&year=2021,True
222,https://www.baseball-reference.com/players/gl.fcgi?id=palacjo01&t=b&year=2021,True
223,https://www.baseball-reference.com/players/gl.fcgi?id=panikjo01&t=b&year=2021,True
224,https://www.baseball-reference.com/players/gl.fcgi?id=payamjo01&t=b&year=2021,True
225,https://www.baseball-reference.com/players/gl.fcgi?id=pearsna01&t=p&year=2021,False
226,https://www.baseball-reference.com/players/gl.fcgi?id=phelpda01&t=p&year=2021,False
227,https://www.baseball-reference.com/players/gl.fcgi?id=rayro02&t=b&year=2021,True
228,https://www.baseball-reference.com/players/gl.fcgi?id=richatr01&t=b&year=2021,True
229,https://www.baseball-reference.com/players/gl.fcgi?id=roarkta01&t=p&year=2021,False
